"מספר","קטגוריה","סוג התראה","חומרה","השאלה לבדיקה"
"24","יומן עבודה","עיכוב","קריטי (4)","האם היומן כולל עיכוב, חסם, מחסור בכוח אדם/ציוד/חומרים או אי־התקדמות? אם כן, ציין גורם, השפעה ואחראי לטיפול."
"25","יומן עבודה","איכות","גבוהה (3)","האם היומן כולל ליקוי ביצוע, עבודה לא תקינה, תיקון נדרש או הערת איכות של המפקח? אם כן, ציין ליקוי, מיקום, אחראי ופעולה נדרשת."
"26","ישיבות","התראה","בינונית (2)","האם ההחלטה/משימה/פעילות מתוך הישיבה דורשת טיפול, אישור, מענה או מעקב מגורם בפרויקט? אם כן, ציין מה נדרש, מי האחראי, עד מתי אם צוין, ומה יקרה אם לא יטופל."
"27","ישיבות","עדכון","נמוכה (1)","האם ההחלטה/משימה/פעילות כוללת עדכון משמעותי על סטטוס, תאריך, אחריות, תכולה או התקדמות? אם כן, ציין מה השתנה, מי עדכן, מה התאריך המתוכנן/בפועל אם צוינו, ומה צריך לעדכן במעקב. אם לא, ציין שאין עדכון משמעותי בפריט זה."
"28","ישיבות","אירוע בטיחות","גבוהה (3)","האם ההחלטה/משימה/פעילות מתייחסת לעצירת עבודה, מפגע בטיחות, סיכון, עבודה מסוכנת, אישורי בטיחות או פעולה בטיחותית נדרשת? אם כן, ציין את הסיכון, מיקום, אחראי ופעולה מיידית."
"29","ישיבות","עיכוב","קריטי (4)","האם ההחלטה/משימה/פעילות מצביעה על עיכוב, חסם, תלות לא סגורה או מועד יעד שנדחה? אם כן, ציין מה סיבת העיכוב, מי אחראי, איזה תאריך הושפע ומה נדרש להסרה."
"30","ישיבות","חריג","גבוהה (3)","האם ההחלטה/משימה/פעילות כוללת שינוי תכולה, שינוי תקציב, שינוי בכמויות, שינוי תכנון, חריגה מדרישה או צורך באישור חריג? אם כן, ציין מה החריג, מי אישר או צריך לאשר, ומה ההשפעה."
"31","ישיבות","איכות","נמוכה (1)","האם ההחלטה/משימה/פעילות מתייחסת לליקוי איכות, בדיקה, תיקון, אי־התאמה או עבודה חוזרת? אם כן, ציין את הליקוי, מיקום, אחראי, סטטוס ופעולה נדרשת."
"32","מיילים","אירוע בטיחות","גבוהה (3)","האם המייל מדווח על אירוע בטיחות, מפגע, סיכון, כמעט תאונה, ציוד לא תקין או דרישת בטיחות? אם כן, ציין מה האירוע, מי דיווח, מיקום, חומרה ופעולה מיידית."
"33","מיילים","עיכוב","קריטי (4)","האם המייל מצביע על עיכוב, חסם, דחייה, מחסור, תלות או אי־עמידה במועד? אם כן, ציין גורם עיכוב, תאריך מושפע, אחראי ופעולה להסרה."
"34","מיילים","חריג","גבוהה (3)","האם המייל כולל חריגה מתכנון, תקציב, תכולה, חוזה, מפרט או אישור? אם כן, ציין מה החריגה, מי העלה אותה, השפעה ופעולה נדרשת."
"35","מיילים","איכות","בינונית (2)","האם המייל כולל ליקוי, אי־התאמה, תיקון נדרש, בדיקה שנכשלה או טענת איכות? אם כן, ציין ליקוי, מיקום, אחראי ופעולה."
"36","וואטסאפ","התראה","בינונית (2)","האם שיחת הוואטסאפ כוללת משימות, החלטות או נושאים פתוחים שדורשים מעקב? אם כן, סכם לפי משימה/החלטה/אחראי/תאריך."
"37","וואטסאפ","עדכון","בינונית (2)","האם ההודעה כוללת עדכון משמעותי מהשטח, תמונה, שינוי סטטוס, שינוי תאריך או התקדמות ביצוע? אם כן, ציין מה עודכן, מי שלח, מיקום ותיעוד נדרש."
"38","וואטסאפ","אירוע בטיחות","בינונית (2)","האם ההודעה או המדיה מצביעות על מפגע בטיחות, מצב מסוכן, ציוד לא תקין או עבודה מסוכנת? אם כן, ציין מה הסיכון, מיקום, שולח ופעולה מיידית."
"39","וואטסאפ","עיכוב","קריטי (4)","האם ההודעה מצביעה על עיכוב, חסם, מחסור, אי־הגעה של ספק/קבלן או בעיה שמונעת התקדמות? אם כן, ציין גורם, השפעה ופעולה."
"40","וואטסאפ","חריג","בינונית (2)","האם ההודעה כוללת שינוי חריג, בקשה לתוספת, חריגה מתכנון או שינוי שאינו מאושר? אם כן, ציין מה החריג, מי העלה אותו ומה צריך לאשר."
"41","וואטסאפ","איכות","נמוכה (1)","האם ההודעה או התמונה מצביעות על ליקוי ביצוע, אי־התאמה או תיקון נדרש? אם כן, ציין ליקוי, מיקום, אחראי ופעולה."
"42","אחר","התראה","נמוכה (1)","האם המסמך כולל התחייבות, תנאי, אישור, דרישה או פעולה שצריך לטפל בהם? אם כן, ציין מה נדרש, מי הגורם, תאריך או תנאי ופעולה מומלצת."
"43","אחר","עדכון","נמוכה (1)","האם המסמך כולל מידע חדש שצריך לתעד, כמו חוזה, ערבות, תוכנית, מפרט, גרסה חדשה או הנחיה כללית? אם כן, ציין סוג מסמך, עיקרי העדכון וגורמים מושפעים."
"44","אחר","אירוע בטיחות","נמוכה (1)","האם המסמך כולל דרישה, הנחיה או מגבלה בטיחותית? אם כן, ציין את הדרישה, תחום, אחראי והשפעה."
"45","אחר","עיכוב","קריטי (4)","האם המסמך כולל תנאי, אישור חסר, תאריך יעד או מגבלה שעלולים לעכב ביצוע? אם כן, ציין מה החסם ומה נדרש לשחרור."
"46","אחר","חריג","בינונית (2)","האם המסמך כולל שינוי חוזי, שינוי תכנון, חריגה מתכולה, תנאי חריג או סיכון תקציבי? אם כן, ציין מה החריג, מקורו והשפעה אפשרית."
"47","אחר","איכות","נמוכה (1)","האם המסמך כולל דרישות איכות, מפרט ביצוע, בדיקות, תקנים או תנאים שיכולים להשפיע על איכות העבודה? אם כן, ציין את הדרישה ומה צריך לבדוק בביצוע."
